"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"156",0.9,0,3000,0,"subject","median",0.61035,0.45702,0.71588,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"157",0,100,3000,0,"subject","median",0.64545,0.50287,0.75492,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"158",0.8,100,3000,0,"subject","median",0.64528,0.4933,0.75603,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"159",0.9,100,3000,0,"subject","median",0.64541,0.4782,0.75719,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"160",0,200,3000,0,"subject","median",0.64444,0.51058,0.75624,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"161",0.8,200,3000,0,"subject","median",0.63766,0.50181,0.74149,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"162",0.9,200,3000,0,"subject","median",0.64574,0.51441,0.75101,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"163",0,0,2000,1,"subject","median",0.4223,0.20725,0.5893,107,17535,163.878504672897,1,0.682827102803738,"Stroop_1","internal_consistency"
"164",0.8,0,2000,1,"subject","median",0.41764,0.21427,0.60501,107,17535,163.878504672897,1,0.682827102803738,"Stroop_1","internal_consistency"
"165",0.9,0,2000,1,"subject","median",0.42359,0.21737,0.59961,107,17535,163.878504672897,1,0.682827102803738,"Stroop_1","internal_consistency"
"166",0,100,2000,1,"subject","median",0.46852,0.22691,0.65099,107,17508,163.626168224299,1,0.681775700934579,"Stroop_1","internal_consistency"
"167",0.8,100,2000,1,"subject","median",0.45961,0.13796,0.63387,107,17508,163.626168224299,1,0.681775700934579,"Stroop_1","internal_consistency"
"168",0.9,100,2000,1,"subject","median",0.4631,0.13905,0.63629,107,17508,163.626168224299,1,0.681775700934579,"Stroop_1","internal_consistency"
"169",0,200,2000,1,"subject","median",0.52008,0.36213,0.65196,107,17487,163.429906542056,1,0.680957943925234,"Stroop_1","internal_consistency"
"170",0.8,200,2000,1,"subject","median",0.51499,0.34419,0.66012,107,17487,163.429906542056,1,0.680957943925234,"Stroop_1","internal_consistency"
"171",0.9,200,2000,1,"subject","median",0.51618,0.336,0.65873,107,17487,163.429906542056,1,0.680957943925234,"Stroop_1","internal_consistency"
"172",0,0,3000,1,"subject","median",0.55118,0.3986,0.6783,107,18157,169.691588785047,1,0.707048286604361,"Stroop_1","internal_consistency"
"173",0.8,0,3000,1,"subject","median",0.55492,0.39329,0.67566,107,18157,169.691588785047,1,0.707048286604361,"Stroop_1","internal_consistency"
"174",0.9,0,3000,1,"subject","median",0.55225,0.39394,0.6789,107,18157,169.691588785047,1,0.707048286604361,"Stroop_1","internal_consistency"
"175",0,100,3000,1,"subject","median",0.57536,0.39114,0.70382,107,18133,169.467289719626,1,0.706113707165109,"Stroop_1","internal_consistency"
"176",0.8,100,3000,1,"subject","median",0.57699,0.36873,0.70979,107,18133,169.467289719626,1,0.706113707165109,"Stroop_1","internal_consistency"
"177",0.9,100,3000,1,"subject","median",0.57394,0.38367,0.70253,107,18133,169.467289719626,1,0.706113707165109,"Stroop_1","internal_consistency"
"178",0,200,3000,1,"subject","median",0.60868,0.47654,0.72723,107,18115,169.299065420561,1,0.70541277258567,"Stroop_1","internal_consistency"
"179",0.8,200,3000,1,"subject","median",0.61095,0.47236,0.72249,107,18115,169.299065420561,1,0.70541277258567,"Stroop_1","internal_consistency"
"180",0.9,200,3000,1,"subject","median",0.61251,0.47769,0.72886,107,18115,169.299065420561,1,0.70541277258567,"Stroop_1","internal_consistency"
"181",0,0,2000,2,"subject","median",0.5707,0.41415,0.68686,107,22443,209.747663551402,1,0.873948598130841,"Stroop_1","internal_consistency"
"182",0.8,0,2000,2,"subject","median",0.57094,0.41274,0.69275,107,22443,209.747663551402,1,0.873948598130841,"Stroop_1","internal_consistency"
"183",0.9,0,2000,2,"subject","median",0.5703,0.40585,0.69719,107,22443,209.747663551402,1,0.873948598130841,"Stroop_1","internal_consistency"
"184",0,100,2000,2,"subject","median",0.62232,0.4673,0.74577,107,22422,209.551401869159,1,0.873130841121495,"Stroop_1","internal_consistency"
"185",0.8,100,2000,2,"subject","median",0.62113,0.4673,0.73655,107,22422,209.551401869159,1,0.873130841121495,"Stroop_1","internal_consistency"
