"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"150",0.9,100,2000,0,"subject","median",0.76401,0.66514,0.83492,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"151",0,200,2000,0,"subject","median",0.76112,0.66149,0.83382,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"152",0.8,200,2000,0,"subject","median",0.75572,0.65628,0.8308,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"153",0.9,200,2000,0,"subject","median",0.76041,0.67055,0.83669,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"154",0,0,3000,0,"subject","median",0.76515,0.68648,0.83233,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"155",0.8,0,3000,0,"subject","median",0.76444,0.67935,0.82872,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"156",0.9,0,3000,0,"subject","median",0.76247,0.67612,0.82732,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"157",0,100,3000,0,"subject","median",0.77095,0.68618,0.84319,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"158",0.8,100,3000,0,"subject","median",0.77338,0.67499,0.83738,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"159",0.9,100,3000,0,"subject","median",0.77048,0.67221,0.83848,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"160",0,200,3000,0,"subject","median",0.76716,0.65137,0.83626,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"161",0.8,200,3000,0,"subject","median",0.76723,0.67118,0.83558,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"162",0.9,200,3000,0,"subject","median",0.76988,0.67552,0.84111,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"163",0,0,2000,1,"subject","median",0.67674,0.56992,0.76452,107,35186,328.841121495327,1,0.685085669781931,"Stroop_1","internal_consistency"
"164",0.8,0,2000,1,"subject","median",0.68129,0.57887,0.77276,107,35186,328.841121495327,1,0.685085669781931,"Stroop_1","internal_consistency"
"165",0.9,0,2000,1,"subject","median",0.68,0.56979,0.77202,107,35186,328.841121495327,1,0.685085669781931,"Stroop_1","internal_consistency"
"166",0,100,2000,1,"subject","median",0.69737,0.57478,0.78909,107,35135,328.364485981308,1,0.684092679127726,"Stroop_1","internal_consistency"
"167",0.8,100,2000,1,"subject","median",0.69182,0.5657,0.7836,107,35135,328.364485981308,1,0.684092679127726,"Stroop_1","internal_consistency"
"168",0.9,100,2000,1,"subject","median",0.69057,0.55203,0.78199,107,35135,328.364485981308,1,0.684092679127726,"Stroop_1","internal_consistency"
"169",0,200,2000,1,"subject","median",0.71536,0.56376,0.80996,107,35103,328.065420560748,1,0.683469626168224,"Stroop_1","internal_consistency"
"170",0.8,200,2000,1,"subject","median",0.70758,0.53619,0.8011,107,35103,328.065420560748,1,0.683469626168224,"Stroop_1","internal_consistency"
"171",0.9,200,2000,1,"subject","median",0.71079,0.56244,0.8126,107,35103,328.065420560748,1,0.683469626168224,"Stroop_1","internal_consistency"
"172",0,0,3000,1,"subject","median",0.73589,0.63622,0.80669,107,36190,338.224299065421,1,0.704633956386293,"Stroop_1","internal_consistency"
"173",0.8,0,3000,1,"subject","median",0.73409,0.64405,0.80276,107,36190,338.224299065421,1,0.704633956386293,"Stroop_1","internal_consistency"
"174",0.9,0,3000,1,"subject","median",0.7338,0.64781,0.80785,107,36190,338.224299065421,1,0.704633956386293,"Stroop_1","internal_consistency"
"175",0,100,3000,1,"subject","median",0.73792,0.60336,0.82271,107,36147,337.822429906542,1,0.703796728971963,"Stroop_1","internal_consistency"
"176",0.8,100,3000,1,"subject","median",0.73927,0.62089,0.81427,107,36147,337.822429906542,1,0.703796728971963,"Stroop_1","internal_consistency"
"177",0.9,100,3000,1,"subject","median",0.74075,0.62202,0.81968,107,36147,337.822429906542,1,0.703796728971963,"Stroop_1","internal_consistency"
"178",0,200,3000,1,"subject","median",0.75858,0.6434,0.83612,107,36116,337.532710280374,1,0.703193146417445,"Stroop_1","internal_consistency"
"179",0.8,200,3000,1,"subject","median",0.75134,0.6199,0.83774,107,36116,337.532710280374,1,0.703193146417445,"Stroop_1","internal_consistency"
"180",0.9,200,3000,1,"subject","median",0.75595,0.63613,0.83294,107,36116,337.532710280374,1,0.703193146417445,"Stroop_1","internal_consistency"
"181",0,0,2000,2,"subject","median",0.74575,0.66168,0.81396,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"182",0.8,0,2000,2,"subject","median",0.74434,0.65363,0.81854,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"183",0.9,0,2000,2,"subject","median",0.74424,0.65633,0.81729,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"184",0,100,2000,2,"subject","median",0.75747,0.64987,0.83662,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
